NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	166	6.305262565612793	0.04256995	No	
row_1	MAP2K1	501	2.8778820037841797	0.039673015	No	
row_2	FCER1G	1176	1.4020498991012573	-0.005943873	No	
row_3	SYK	1601	1.0547093152999878	-0.03308139	No	
row_4	FOS	1707	0.9888160824775696	-0.033232935	No	
row_5	RAF1	1938	0.863103985786438	-0.045326915	No	
row_6	SHC1	2056	0.8189595341682434	-0.048049405	No	
row_7	VAV1	2507	0.6338704824447632	-0.08123412	No	
row_8	CALM1	2530	0.6271130442619324	-0.077474825	No	
row_9	MAPK1	3026	0.4719941020011902	-0.116011634	No	
row_10	GRB2	3056	0.46501824259757996	-0.11432091	No	
row_11	MAPK3	3384	0.37902313470840454	-0.1391717	No	
row_12	PIK3R1	4080	0.23473185300827026	-0.19714253	No	
row_13	PPP3CA	4664	0.1380261480808258	-0.24630281	No	
row_14	NFATC3	4930	0.10034842789173126	-0.26830888	No	
row_15	MAP2K4	5177	0.06457921862602234	-0.28899512	No	
row_16	LYN	5666	0.007160108536481857	-0.3311231	No	
row_17	PRKCB	5978	-0.02786545641720295	-0.3577607	No	
row_18	MAP3K1	6510	-0.10102678835391998	-0.40275908	No	
row_19	PPP3CC	8056	-0.38889703154563904	-0.5328294	No	
row_20	BTK	8583	-0.5338292717933655	-0.57348824	No	
row_21	SOS1	9266	-0.7798016667366028	-0.6254143	No	
row_22	MAPK8	9786	-1.071518898010254	-0.66061383	No	
row_23	NFATC1	10198	-1.4413127899169922	-0.6831372	Yes	
row_24	MS4A2	11545	-15.592907905578613	-0.6587438	Yes	
row_25	NFATC2	11576	-23.825077056884766	-0.44625068	Yes	
row_26	FCER1A	11590	-49.574623107910156	1.7286313E-4	Yes	
