NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP3K8	675	2.292104482650757	-0.03741721	No	
row_1	PPP2R5A	950	1.6899925470352173	-0.045621898	No	
row_2	PPP2R5C	1383	1.2162998914718628	-0.071873516	No	
row_3	PPP2R5D	1892	0.8888019919395447	-0.107722126	No	
row_4	PPP2CB	2262	0.7299658060073853	-0.13298611	No	
row_5	PPP2R1B	2489	0.6413940191268921	-0.14667282	No	
row_6	VAV1	2507	0.6338704824447632	-0.14231776	No	
row_7	RAC1	2590	0.6081173419952393	-0.14383207	No	
row_8	PTPN11	2915	0.5097126960754395	-0.16722172	No	
row_9	PTPN6	3145	0.442097008228302	-0.18300085	No	
row_10	MLST8	3282	0.40740999579429626	-0.19103996	No	
row_11	PAK2	3675	0.3145643174648285	-0.22211647	No	
row_12	PPP2CA	3765	0.29756978154182434	-0.22709274	No	
row_13	PDPK1	4006	0.2497802972793579	-0.24559334	No	
row_14	PIK3R1	4080	0.23473185300827026	-0.2497609	No	
row_15	MAPKAP1	4269	0.202946275472641	-0.26418605	No	
row_16	PRR5	4315	0.19450663030147552	-0.26629713	No	
row_17	PPP2R5B	4726	0.13014984130859375	-0.30062905	No	
row_18	AKT1	5019	0.0876622125506401	-0.32512632	No	
row_19	LYN	5666	0.007160108536481857	-0.38103968	No	
row_20	CDC42	5853	-0.009158548898994923	-0.39707333	No	
row_21	PIK3CA	6007	-0.03216802701354027	-0.4100358	No	
row_22	PPP2R1A	6250	-0.06630998849868774	-0.43039662	No	
row_23	TRBC1	6726	-0.13314375281333923	-0.4703336	No	
row_24	PPP2R5E	7018	-0.17855435609817505	-0.4939085	No	
row_25	AKT2	7174	-0.2058490812778473	-0.5054473	No	
row_26	PIK3R3	7181	-0.2065650075674057	-0.504068	No	
row_27	MTOR	8046	-0.3872174322605133	-0.5753777	No	
row_28	THEM4	8979	-0.6617181897163391	-0.650056	No	
row_29	CSK	9648	-0.9762342572212219	-0.69896555	No	
row_30	ICOSLG	9778	-1.066853642463684	-0.7003348	No	
row_31	CD3E	9960	-1.2033296823501587	-0.7049552	No	
row_32	RICTOR	10315	-1.5877840518951416	-0.7210321	No	
row_33	TRAC	10594	-2.0072810649871826	-0.72666603	Yes	
row_34	HLA-DRB3	10645	-2.101672649383545	-0.71167475	Yes	
row_35	CD86	10733	-2.3184404373168945	-0.6978966	Yes	
row_36	HLA-DRB5	10742	-2.3494646549224854	-0.67698747	Yes	
row_37	TRIB3	10882	-2.764202833175659	-0.6636168	Yes	
row_38	MAP3K14	10938	-3.009739398956299	-0.6407094	Yes	
row_39	HLA-DQB1	10952	-3.0538320541381836	-0.61375713	Yes	
row_40	CD4	10985	-3.166207790374756	-0.5874181	Yes	
row_41	GRAP2	10989	-3.1766817569732666	-0.5584697	Yes	
row_42	HLA-DRB1	11073	-3.5650947093963623	-0.53288245	Yes	
row_43	LCK	11128	-3.907092571258545	-0.5016377	Yes	
row_44	CD274	11147	-4.067009925842285	-0.46580294	Yes	
row_45	FYN	11151	-4.100256443023682	-0.42836267	Yes	
row_46	CD80	11170	-4.2266974449157715	-0.39105964	Yes	
row_47	YES1	11288	-5.391992092132568	-0.35162106	Yes	
row_48	HLA-DPB1	11318	-5.8994951248168945	-0.29989055	Yes	
row_49	HLA-DQA1	11327	-6.0348219871521	-0.24509598	Yes	
row_50	PDCD1LG2	11427	-7.9707207679748535	-0.18038723	Yes	
row_51	PAK1	11437	-8.072650909423828	-0.10694229	Yes	
row_52	BTLA	11532	-13.082375526428223	0.0051993923	Yes	
