NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSC22D3	14	27.343631744384766	0.18498139	Yes	
row_1	SRGN	18	24.24349021911621	0.34980503	Yes	
row_2	S100P	41	15.920626640319824	0.45631015	Yes	
row_3	MFGE8	43	15.261756896972656	0.5601468	Yes	
row_4	MGAM	147	6.809246063232422	0.59759665	Yes	
row_5	JUN	166	6.305262565612793	0.6389733	Yes	
row_6	ALOX5AP	180	6.1077561378479	0.67943794	Yes	
row_7	GADD45B	196	5.857611179351807	0.7180261	Yes	
row_8	B3GNT5	255	5.003570556640625	0.74707615	Yes	
row_9	STOM	298	4.418184280395508	0.77352524	Yes	
row_10	FGD4	413	3.4174489974975586	0.7869267	Yes	
row_11	THBD	640	2.422679901123047	0.7838583	Yes	
row_12	CPEB4	935	1.724863886833191	0.7701512	Yes	
row_13	PRRG4	966	1.6520776748657227	0.77880365	Yes	
row_14	SLC19A2	975	1.6308906078338623	0.78921646	Yes	
row_15	NAV3	1129	1.4557284116744995	0.7858835	No	
row_16	CDC42EP3	1759	0.9550373554229736	0.7379325	No	
row_17	SLC26A2	2347	0.690834641456604	0.6918186	No	
row_18	ENC1	2428	0.6678303480148315	0.6894403	No	
row_19	SPRY1	2492	0.641025185585022	0.6883512	No	
row_20	RGS2	2947	0.4971019923686981	0.6524322	No	
row_21	ABHD2	2973	0.4874233901500702	0.6535869	No	
row_22	PTGS2	3073	0.46023547649383545	0.6481502	No	
row_23	PLK2	3563	0.3407866060733795	0.6081367	No	
row_24	BIRC2	3695	0.31045758724212646	0.59890974	No	
row_25	DNAJC15	4341	0.18968351185321808	0.54436207	No	
row_26	SERTAD2	5132	0.0702347606420517	0.47644797	No	
row_27	RXRA	5872	-0.0109028872102499	0.41254508	No	
row_28	SERPINB9	6320	-0.07394992560148239	0.3743507	No	
row_29	KTN1	6531	-0.10570501536130905	0.35689023	No	
row_30	PTGES3	6557	-0.10960880666971207	0.35547227	No	
row_31	TGFBR3	6575	-0.11169610917568207	0.35476112	No	
row_32	ACKR3	7312	-0.2291291356086731	0.29260394	No	
row_33	TNFAIP3	8271	-0.44427695870399475	0.21269265	No	
row_34	ARL5B	8671	-0.562633216381073	0.18198137	No	
row_35	CCL2	8758	-0.5927785038948059	0.1785726	No	
row_36	GPR153	8788	-0.6009231209754944	0.1801539	No	
row_37	PDE4B	9584	-0.9336461424827576	0.11768626	No	
row_38	CAVIN2	10015	-1.2557332515716553	0.08901082	No	
row_39	NR3C1	10263	-1.5302690267562866	0.07804758	No	
row_40	BIRC3	10717	-2.27168869972229	0.05429901	No	
row_41	NFKB2	10978	-3.1376333236694336	0.053155504	No	
