NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FPR1	33	18.083784103393555	0.036092594	No	
row_1	PELI1	119	7.735545635223389	0.04534034	No	
row_2	TNFAIP6	188	5.971751689910889	0.052271534	No	
row_3	ST8SIA4	273	4.69775915145874	0.05505946	No	
row_4	ARL4A	385	3.5939934253692627	0.053110216	No	
row_5	BTG1	411	3.423372745513916	0.05830482	No	
row_6	VAMP8	556	2.6945061683654785	0.051534615	No	
row_7	TRIM14	573	2.645192861557007	0.055838145	No	
row_8	NFKBIA	724	2.1631131172180176	0.0473986	No	
row_9	TOR1B	862	1.858901858329773	0.039438874	No	
row_10	B2M	1149	1.428725242614746	0.017537776	No	
row_11	LCP2	1288	1.2892144918441772	0.008262893	No	
row_12	VAMP5	1306	1.2752125263214111	0.009526439	No	
row_13	CASP3	1337	1.2495079040527344	0.009599116	No	
row_14	ISG20	1349	1.238976001739502	0.011308627	No	
row_15	STAT3	1690	0.9980384707450867	-0.016237274	No	
row_16	NMI	1872	0.8993902802467346	-0.03010811	No	
row_17	PSMB2	2327	0.6983087062835693	-0.068257205	No	
row_18	CMKLR1	2476	0.6473546028137207	-0.079788886	No	
row_19	IRF2	2577	0.6120942831039429	-0.08720406	No	
row_20	TRIM21	2762	0.5564178824424744	-0.10207612	No	
row_21	RIPK1	2789	0.5472970604896545	-0.103167504	No	
row_22	SRI	3010	0.4775277376174927	-0.12135397	No	
row_23	BPGM	3027	0.47159549593925476	-0.121735066	No	
row_24	PTGS2	3073	0.46023547649383545	-0.12467362	No	
row_25	PTPN6	3145	0.442097008228302	-0.12992221	No	
row_26	SECTM1	3404	0.374521940946579	-0.15164974	No	
row_27	FAS	3509	0.34929168224334717	-0.1599807	No	
row_28	HIF1A	3645	0.32139432430267334	-0.17107944	No	
row_29	TXNIP	3948	0.26057663559913635	-0.19689567	No	
row_30	OGFR	4305	0.19677501916885376	-0.227566	No	
row_31	RAPGEF6	4363	0.18547634780406952	-0.23214485	No	
row_32	MYD88	4414	0.17607246339321136	-0.23613256	No	
row_33	IFITM2	4454	0.16849462687969208	-0.23917583	No	
row_34	STAT4	4701	0.13336308300495148	-0.260375	No	
row_35	EIF4E3	4950	0.09813505411148071	-0.28182477	No	
row_36	PML	5331	0.04425425082445145	-0.31492007	No	
row_37	PNPT1	5423	0.03254367783665657	-0.32279822	No	
row_38	TRAFD1	5432	0.03160833194851875	-0.32342884	No	
row_39	SOCS1	5731	0.0	-0.34945732	No	
row_40	ISOC1	5819	-0.004886166658252478	-0.3570457	No	
row_41	PSMA2	5826	-0.005399411078542471	-0.35755813	No	
row_42	SPPL2A	6010	-0.03239477053284645	-0.37347224	No	
row_43	BST2	6026	-0.035759929567575455	-0.3747053	No	
row_44	IFI35	6204	-0.06144825369119644	-0.39003274	No	
row_45	RIPK2	6229	-0.06375674903392792	-0.3919916	No	
row_46	SLC25A28	6455	-0.09237635880708694	-0.41144487	No	
row_47	HLA-A	6512	-0.1012641191482544	-0.41611788	No	
row_48	NUP93	7147	-0.20180240273475647	-0.47105896	No	
row_49	IRF5	7579	-0.2775716781616211	-0.50810593	No	
row_50	ZNFX1	7610	-0.28462716937065125	-0.5101128	No	
row_51	HLA-B	7705	-0.3044826090335846	-0.5176669	No	
row_52	CFH	7729	-0.30941399931907654	-0.51900893	No	
row_53	IL10RA	7776	-0.3229735791683197	-0.5223307	No	
row_54	CASP4	7875	-0.3462075889110565	-0.5301442	No	
row_55	LATS2	7965	-0.36487895250320435	-0.5371314	No	
row_56	PTPN1	8090	-0.39802122116088867	-0.54710424	No	
row_57	CDKN1A	8137	-0.4097394645214081	-0.55023897	No	
row_58	PFKP	8168	-0.41938337683677673	-0.5519554	No	
row_59	TNFAIP3	8271	-0.44427695870399475	-0.55990696	No	
row_60	BATF2	8272	-0.44441959261894226	-0.5589491	No	
row_61	CMTR1	8311	-0.45418596267700195	-0.5612893	No	
row_62	XCL1	8582	-0.53333580493927	-0.58372265	No	
row_63	CD69	8720	-0.5817723870277405	-0.5944349	No	
row_64	CCL2	8758	-0.5927785038948059	-0.59638906	No	
row_65	ADAR	8762	-0.5932198762893677	-0.59537256	No	
row_66	HLA-DMA	8983	-0.6632733941078186	-0.6131587	No	
row_67	MX2	9154	-0.731671929359436	-0.6264302	No	
row_68	IFNAR2	9211	-0.7552792429924011	-0.6296937	No	
row_69	MT2A	9247	-0.773184061050415	-0.6310843	No	
row_70	TAPBP	9387	-0.8385883569717407	-0.64141774	No	
row_71	TNFAIP2	9394	-0.8435880541801453	-0.64012367	No	
row_72	NFKB1	9439	-0.8609910011291504	-0.6421112	No	
row_73	PSMB10	9519	-0.895270824432373	-0.6470818	No	
row_74	TDRD7	9520	-0.8955705761909485	-0.6451516	No	
row_75	IFI30	9531	-0.9006964564323425	-0.64408386	No	
row_76	PIM1	9551	-0.9134434461593628	-0.6437747	No	
row_77	PDE4B	9584	-0.9336461424827576	-0.6445575	No	
row_78	TRIM25	9645	-0.9752794504165649	-0.64769614	No	
row_79	IFI44	9655	-0.9798638224601746	-0.64637035	No	
row_80	MVP	9714	-1.0256186723709106	-0.6492259	No	
row_81	IRF7	9796	-1.0769621133804321	-0.6539796	No	
row_82	GZMA	9895	-1.1548746824264526	-0.6600503	No	
row_83	HERC6	10087	-1.322619080543518	-0.67388237	No	
row_84	IL15RA	10100	-1.3322715759277344	-0.6720591	No	
row_85	METTL7B	10121	-1.3490973711013794	-0.6708984	No	
row_86	IL7	10187	-1.4264227151870728	-0.67350143	No	
row_87	IFITM3	10309	-1.578657865524292	-0.68066764	No	
row_88	SP110	10342	-1.6121326684951782	-0.67998815	No	
row_89	IFI44L	10361	-1.6328409910202026	-0.67804116	No	
row_90	BANK1	10375	-1.6481024026870728	-0.67562455	No	
row_91	FCGR1A	10407	-1.6884150505065918	-0.6746933	No	
row_92	IL2RB	10546	-1.9238702058792114	-0.6826003	Yes	
row_93	STAT1	10573	-1.9638630151748657	-0.6806387	Yes	
row_94	ISG15	10582	-1.9816139936447144	-0.67706656	Yes	
row_95	STAT2	10583	-1.9825420379638672	-0.6727937	Yes	
row_96	EIF2AK2	10705	-2.2386627197265625	-0.6785374	Yes	
row_97	CD40	10718	-2.2743980884552	-0.6746837	Yes	
row_98	PARP12	10739	-2.334364414215088	-0.6713995	Yes	
row_99	LAP3	10752	-2.3753936290740967	-0.667328	Yes	
row_100	XAF1	10761	-2.3932394981384277	-0.66286874	Yes	
row_101	LYSMD2	10784	-2.4687886238098145	-0.6594695	Yes	
row_102	OASL	10814	-2.5438992977142334	-0.6565198	Yes	
row_103	ARID5B	10822	-2.556156635284424	-0.651622	Yes	
row_104	NOD1	10834	-2.584235668182373	-0.6470131	Yes	
row_105	PLSCR1	10837	-2.5934293270111084	-0.64159834	Yes	
row_106	UBE2L6	10891	-2.7948102951049805	-0.6402041	Yes	
row_107	IRF8	10910	-2.862790584564209	-0.6356063	Yes	
row_108	IFIT3	10939	-3.014126777648926	-0.63155574	Yes	
row_109	TNFSF10	11033	-3.390793800354004	-0.6323707	Yes	
row_110	RTP4	11035	-3.3921866416931152	-0.6251471	Yes	
row_111	SOCS3	11037	-3.397233247756958	-0.6179126	Yes	
row_112	IL18BP	11043	-3.4291634559631348	-0.6109586	Yes	
row_113	MTHFD2	11045	-3.44401478767395	-0.6036233	Yes	
row_114	RNF213	11054	-3.487410306930542	-0.5968058	Yes	
row_115	HLA-DRB1	11073	-3.5650947093963623	-0.59069437	Yes	
row_116	FGL2	11098	-3.776545763015747	-0.58465123	Yes	
row_117	ST3GAL5	11122	-3.893721103668213	-0.57826823	Yes	
row_118	HELZ2	11162	-4.183610916137695	-0.57265794	Yes	
row_119	CMPK2	11233	-4.809490203857422	-0.5684064	Yes	
row_120	AUTS2	11236	-4.8474931716918945	-0.55813354	Yes	
row_121	IL15	11292	-5.459939479827881	-0.55117	Yes	
row_122	HLA-DQA1	11327	-6.0348219871521	-0.54113317	Yes	
row_123	IFIH1	11331	-6.1157026290893555	-0.52821434	Yes	
row_124	PARP14	11369	-6.826819896697998	-0.51673263	Yes	
row_125	ITGB7	11377	-6.925911903381348	-0.502417	Yes	
row_126	IFIT2	11386	-7.076741695404053	-0.48786366	Yes	
row_127	IDO1	11400	-7.328982353210449	-0.47320342	Yes	
row_128	EPSTI1	11401	-7.329839706420898	-0.45740584	Yes	
row_129	CSF2RB	11434	-8.053022384643555	-0.4428446	Yes	
row_130	LGALS3BP	11449	-8.384737014770508	-0.42599627	Yes	
row_131	IFIT1	11452	-8.5018949508667	-0.40784732	Yes	
row_132	RSAD2	11455	-8.608503341674805	-0.3894686	Yes	
row_133	OAS3	11460	-8.744927406311035	-0.37097055	Yes	
row_134	MX1	11471	-9.041304588317871	-0.35235777	Yes	
row_135	P2RY14	11481	-9.518803596496582	-0.33262855	Yes	
row_136	SAMD9L	11504	-10.939684867858887	-0.31097242	Yes	
row_137	SERPING1	11507	-11.13062572479248	-0.28715792	Yes	
row_138	IRF4	11513	-11.376497268676758	-0.26307553	Yes	
row_139	IRF1	11540	-14.449999809265137	-0.2342032	Yes	
row_140	GBP4	11558	-18.312307357788086	-0.19622059	Yes	
row_141	OAS2	11566	-19.35236930847168	-0.15512294	Yes	
row_142	SLAMF7	11583	-34.7283935546875	-0.081672326	Yes	
row_143	CD74	11586	-38.21908950805664	5.2438944E-4	Yes	
