NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDK4	8	37.77719497680664	0.18639128	Yes	
row_1	PDHA1	240	5.225702285766602	0.19208616	Yes	
row_2	PHYH	365	3.7188546657562256	0.19966829	Yes	
row_3	HADHB	399	3.494184732437134	0.21408953	Yes	
row_4	COX7B	429	3.279282331466675	0.22779597	Yes	
row_5	UQCRFS1	436	3.2593493461608887	0.24341351	Yes	
row_6	ATP6V1D	464	3.0497074127197266	0.2561578	Yes	
row_7	SDHC	497	2.902439594268799	0.26773578	Yes	
row_8	UQCRQ	503	2.8698570728302	0.28151175	Yes	
row_9	COX6B1	509	2.856698989868164	0.29522255	Yes	
row_10	NDUFB3	519	2.8290181159973145	0.30844674	Yes	
row_11	UQCRH	530	2.7970972061157227	0.32142544	Yes	
row_12	MGST3	542	2.7553038597106934	0.33410978	Yes	
row_13	ATP5ME	574	2.6433002948760986	0.3444918	Yes	
row_14	MRPS15	592	2.5995519161224365	0.35588053	Yes	
row_15	COX7A2	613	2.5139882564544678	0.36658332	Yes	
row_16	UQCR11	650	2.379140615463257	0.37522018	Yes	
row_17	TIMM8B	654	2.371281623840332	0.38670173	Yes	
row_18	NDUFA2	656	2.3619532585144043	0.39831185	Yes	
row_19	IDH1	683	2.267120599746704	0.40726775	Yes	
row_20	COX7C	701	2.21462082862854	0.4167501	Yes	
row_21	NDUFB2	755	2.1085915565490723	0.4225616	Yes	
row_22	COX6A1	760	2.094395875930786	0.4325845	Yes	
row_23	ATP6V1C1	764	2.0857934951782227	0.44265217	Yes	
row_24	ATP5F1E	771	2.0737063884735107	0.45239782	Yes	
row_25	ATP6V0E1	773	2.0603537559509277	0.46251428	Yes	
row_26	COX7A2L	808	1.9702603816986084	0.46930096	Yes	
row_27	ALAS1	826	1.9484455585479736	0.47746506	Yes	
row_28	NDUFB5	849	1.8918113708496094	0.4849118	Yes	
row_29	UQCR10	851	1.8868391513824463	0.49416894	Yes	
row_30	NDUFC1	860	1.8654762506484985	0.50270855	Yes	
row_31	MRPS22	899	1.796953797340393	0.50828743	Yes	
row_32	NDUFAB1	904	1.7831734418869019	0.516769	Yes	
row_33	SDHD	918	1.7603580951690674	0.5243512	Yes	
row_34	MRPL15	961	1.6629009246826172	0.5289166	Yes	
row_35	AIFM1	979	1.6256762742996216	0.53548217	Yes	
row_36	UQCRB	995	1.608435034751892	0.5421372	Yes	
row_37	COX5A	1004	1.5909916162490845	0.5493175	Yes	
row_38	MPC1	1041	1.5376840829849243	0.55378705	Yes	
row_39	NDUFB1	1043	1.5370543003082275	0.56131184	Yes	
row_40	RHOT1	1057	1.523427963256836	0.56772065	Yes	
row_41	ATP6V1E1	1059	1.5220365524291992	0.57517105	Yes	
row_42	ATP5PO	1063	1.5166339874267578	0.58242	Yes	
row_43	COX6C	1071	1.5094540119171143	0.5892839	Yes	
row_44	IDH3B	1099	1.4839099645614624	0.59427357	Yes	
row_45	MRPL34	1165	1.4113037586212158	0.59558314	Yes	
row_46	NDUFA4	1203	1.365973949432373	0.59911495	Yes	
row_47	OGDH	1212	1.3591898679733276	0.60514724	Yes	
row_48	MRPL35	1247	1.3248493671417236	0.6087375	Yes	
row_49	NDUFB8	1260	1.3116662502288818	0.614185	Yes	
row_50	SDHB	1268	1.3064441680908203	0.6200434	Yes	
row_51	COX4I1	1373	1.2201141119003296	0.61699826	Yes	
row_52	COX17	1386	1.2124038934707642	0.621954	Yes	
row_53	ATP5MC3	1408	1.1974847316741943	0.6260495	Yes	
row_54	ACAT1	1429	1.174883484840393	0.63012046	Yes	
row_55	COX8A	1457	1.154107689857483	0.63347685	Yes	
row_56	ETFB	1462	1.1532952785491943	0.63883895	Yes	
row_57	ALDH6A1	1465	1.148099422454834	0.6443501	Yes	
row_58	NQO2	1524	1.1029117107391357	0.6447441	Yes	
row_59	GRPEL1	1534	1.0954782962799072	0.64938295	Yes	
row_60	UQCRC1	1537	1.0942041873931885	0.6546272	Yes	
row_61	NDUFS6	1550	1.086988091468811	0.6589619	Yes	
row_62	HSD17B10	1565	1.0789148807525635	0.6630818	Yes	
row_63	SDHA	1597	1.0587002038955688	0.6656162	Yes	
row_64	NDUFB4	1599	1.055944561958313	0.67075837	Yes	
