NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG20	1349	1.238976001739502	-0.10760144	No	
row_1	EGR1	1547	1.088494062423706	-0.11652755	No	
row_2	RNASEL	2114	0.791346549987793	-0.15964335	No	
row_3	IRF2	2577	0.6120942831039429	-0.19508995	No	
row_4	PTPN11	2915	0.5097126960754395	-0.22047316	No	
row_5	PTPN6	3145	0.442097008228302	-0.23700571	No	
row_6	IFITM2	4454	0.16849462687969208	-0.349061	No	
row_7	HLA-C	4612	0.1445448100566864	-0.36158133	No	
row_8	IFNAR1	4765	0.12577642500400543	-0.37380883	No	
row_9	KPNB1	4967	0.09565921872854233	-0.3905066	No	
row_10	SOCS1	5731	0.0	-0.45660725	No	
row_11	BST2	6026	-0.035759929567575455	-0.4818098	No	
row_12	IFI35	6204	-0.06144825369119644	-0.49668422	No	
row_13	HLA-A	6512	-0.1012641191482544	-0.5225231	No	
row_14	IRF3	6698	-0.12886571884155273	-0.5375864	No	
row_15	KPNA1	6743	-0.13538716733455658	-0.54038566	No	
row_16	IRF5	7579	-0.2775716781616211	-0.61064804	No	
row_17	HLA-B	7705	-0.3044826090335846	-0.6192	No	
row_18	PTPN1	8090	-0.39802122116088867	-0.64949024	No	
row_19	IFI6	8723	-0.582542359828949	-0.69988537	No	
row_20	ADAR	8762	-0.5932198762893677	-0.6987409	No	
row_21	MX2	9154	-0.731671929359436	-0.7271423	No	
row_22	ABCE1	9321	-0.8113073706626892	-0.73545575	No	
row_23	HLA-F	9380	-0.8354415893554688	-0.7342324	No	
row_24	OAS1	9575	-0.9302397966384888	-0.7440822	No	
row_25	IRF7	9796	-1.0769621133804321	-0.7550871	No	
row_26	IP6K2	9855	-1.127357840538025	-0.7516806	No	
row_27	HLA-H	10226	-1.4817019701004028	-0.77265346	Yes	
row_28	IFITM3	10309	-1.578657865524292	-0.7679511	Yes	
row_29	IFITM1	10353	-1.6222504377365112	-0.75954396	Yes	
row_30	TYK2	10408	-1.6917388439178467	-0.7515701	Yes	
row_31	SAMHD1	10436	-1.742758870124817	-0.7408756	Yes	
row_32	GBP2	10471	-1.7927488088607788	-0.7304137	Yes	
row_33	STAT1	10573	-1.9638630151748657	-0.72447646	Yes	
row_34	ISG15	10582	-1.9816139936447144	-0.7103496	Yes	
row_35	STAT2	10583	-1.9825420379638672	-0.6955228	Yes	
row_36	XAF1	10761	-2.3932394981384277	-0.6929585	Yes	
row_37	OASL	10814	-2.5438992977142334	-0.6784383	Yes	
row_38	IRF8	10910	-2.862790584564209	-0.66525847	Yes	
row_39	IFIT3	10939	-3.014126777648926	-0.64514244	Yes	
row_40	IFIT5	10984	-3.1630032062530518	-0.62529916	Yes	
row_41	SOCS3	11037	-3.397233247756958	-0.6043972	Yes	
row_42	IFIT2	11386	-7.076741695404053	-0.5816205	Yes	
row_43	IFIT1	11452	-8.5018949508667	-0.5236685	Yes	
row_44	RSAD2	11455	-8.608503341674805	-0.45946145	Yes	
row_45	OAS3	11460	-8.744927406311035	-0.39440733	Yes	
row_46	MX1	11471	-9.041304588317871	-0.32765648	Yes	
row_47	IRF4	11513	-11.376497268676758	-0.24612707	Yes	
row_48	IRF1	11540	-14.449999809265137	-0.14031237	Yes	
row_49	OAS2	11566	-19.35236930847168	0.002252268	Yes	
