NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNGR1	64	12.207832336425781	0.03263272	No	
row_1	TRIM14	573	2.645192861557007	-0.0034898224	No	
row_2	B2M	1149	1.428725242614746	-0.049278207	No	
row_3	EIF4A3	1287	1.2898019552230835	-0.057214897	No	
row_4	NUP50	1313	1.269011378288269	-0.05542648	No	
row_5	NUP37	1317	1.26520574092865	-0.0517269	No	
row_6	IFNGR2	1328	1.2571995258331299	-0.048664283	No	
row_7	UBA52	1345	1.2414425611495972	-0.04617548	No	
row_8	ISG20	1349	1.238976001739502	-0.042558037	No	
row_9	PPM1B	1350	1.2373074293136597	-0.03868358	No	
row_10	UBC	1353	1.2352442741394043	-0.03499041	No	
row_11	NUP85	1475	1.137626051902771	-0.042005014	No	
row_12	EGR1	1547	1.088494062423706	-0.04480284	No	
row_13	RAE1	1589	1.0637784004211426	-0.045055684	No	
row_14	NUP214	1719	0.9830454587936401	-0.05325364	No	
row_15	SP100	1730	0.9709813594818115	-0.05108727	No	
row_16	PIAS1	1733	0.9697855114936829	-0.048225347	No	
row_17	SUMO1	1755	0.9588813781738281	-0.047058407	No	
row_18	TRIM38	1783	0.9456667304039001	-0.046457324	No	
row_19	KPNA2	1830	0.921044647693634	-0.047594182	No	
row_20	NUP35	1847	0.9142625331878662	-0.046129897	No	
row_21	RNASEL	2114	0.791346549987793	-0.06690365	No	
row_22	RPS27A	2192	0.7556845545768738	-0.071268104	No	
row_23	PDE12	2518	0.6311945915222168	-0.0977007	No	
row_24	IRF2	2577	0.6120942831039429	-0.10085394	No	
row_25	KPNA4	2616	0.5991898775100708	-0.10229934	No	
row_26	EIF4E2	2636	0.593510627746582	-0.10210168	No	
row_27	PRKCD	2677	0.5789880752563477	-0.103785165	No	
row_28	TRIM21	2762	0.5564178824424744	-0.109385476	No	
row_29	PIN1	2766	0.554438591003418	-0.107911564	No	
row_30	PTPN11	2915	0.5097126960754395	-0.11925253	No	
row_31	UBE2N	2916	0.508928656578064	-0.1176589	No	
row_32	PTPN6	3145	0.442097008228302	-0.1362046	No	
row_33	EIF4G1	3148	0.44142818450927734	-0.13499716	No	
row_34	NUP133	3249	0.4138453006744385	-0.14244251	No	
row_35	SEC13	3300	0.40260446071624756	-0.14555244	No	
row_36	EIF4G3	3306	0.4017109274864197	-0.14473161	No	
row_37	EIF4G2	3336	0.3921580910682678	-0.14603858	No	
row_38	MAPK3	3384	0.37902313470840454	-0.14896011	No	
row_39	NDC1	3481	0.3549266457557678	-0.15624033	No	
row_40	AAAS	3845	0.28053128719329834	-0.18709265	No	
row_41	PTAFR	3851	0.27980178594589233	-0.18665355	No	
row_42	EIF4E	3945	0.2613057792186737	-0.19396468	No	
row_43	IFITM2	4454	0.16849462687969208	-0.23784266	No	
row_44	UBB	4480	0.16587111353874207	-0.23950857	No	
row_45	TRIM6	4575	0.14962664246559143	-0.24725682	No	
row_46	HLA-C	4612	0.1445448100566864	-0.24995105	No	
row_47	IFNAR1	4765	0.12577642500400543	-0.2628439	No	
row_48	NUP107	4877	0.10770393162965775	-0.27220947	No	
row_49	UBE2E1	4924	0.10136925429105759	-0.275913	No	
row_50	EIF4E3	4950	0.09813505411148071	-0.27779102	No	
row_51	KPNB1	4967	0.09565921872854233	-0.27889007	No	
row_52	TRIM35	5254	0.05503102019429207	-0.30371776	No	
row_53	PML	5331	0.04425425082445145	-0.31022254	No	
row_54	SOCS1	5731	0.0	-0.34510016	No	
row_55	TPR	5797	-0.0030514111276715994	-0.35077244	No	
row_56	BST2	6026	-0.035759929567575455	-0.37059054	No	
row_57	TRIM68	6065	-0.040968846529722214	-0.37378392	No	
row_58	IFI35	6204	-0.06144825369119644	-0.38565442	No	
