NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C5AR1	7	38.81167984008789	0.044195093	Yes	
row_1	FPR2	27	20.29063606262207	0.065927416	Yes	
row_2	FPR1	33	18.083784103393555	0.086363964	Yes	
row_3	MS4A3	36	17.178955078125	0.10602403	Yes	
row_4	S100A8	37	16.884321212768555	0.1255228	Yes	
row_5	S100P	41	15.920626640319824	0.1436402	Yes	
row_6	S100A9	45	15.082054138183594	0.16078919	Yes	
row_7	CEACAM6	48	14.428667068481445	0.17727311	Yes	
row_8	LRG1	55	13.150704383850098	0.19192322	Yes	
row_9	RNASE3	63	12.266013145446777	0.20546217	Yes	
row_10	CTSG	69	11.968987464904785	0.21883707	Yes	
row_11	S100A12	73	11.46249771118164	0.23180602	Yes	
row_12	SLPI	76	11.343157768249512	0.24472666	Yes	
row_13	SLC2A5	91	10.008774757385254	0.25503245	Yes	
row_14	SERPINB1	96	9.327585220336914	0.26544642	Yes	
row_15	MNDA	111	8.200297355651855	0.2736637	Yes	
row_16	PTX3	117	7.862948417663574	0.28229675	Yes	
row_17	NPC2	132	7.3900227546691895	0.2895783	Yes	
row_18	FTL	134	7.268657684326172	0.29788297	Yes	
row_19	ARG1	136	7.153452396392822	0.30605462	Yes	
row_20	MGAM	147	6.809246063232422	0.3130234	Yes	
row_21	RAB5B	159	6.531257629394531	0.31958166	Yes	
row_22	CTSB	160	6.527198314666748	0.32711956	Yes	
row_23	ALDH3B1	169	6.2895097732543945	0.3336671	Yes	
row_24	FGR	178	6.1301984786987305	0.34003064	Yes	
row_25	IGF2R	182	6.0516510009765625	0.3467509	Yes	
row_26	CREG1	183	6.034844875335693	0.35372022	Yes	
row_27	TNFAIP6	188	5.971751689910889	0.36025873	Yes	
row_28	GUSB	190	5.951876163482666	0.36704272	Yes	
row_29	CDA	195	5.875657081604004	0.37347028	Yes	
row_30	PNP	198	5.842677116394043	0.38003868	Yes	
row_31	ADGRG3	206	5.697570323944092	0.3859921	Yes	
row_32	SLC11A1	216	5.497678756713867	0.3915357	Yes	
row_33	VAT1	218	5.492439270019531	0.39778912	Yes	
row_34	AGPAT2	219	5.483622074127197	0.40412188	Yes	
row_35	BRI3	220	5.464791297912598	0.41043285	Yes	
row_36	CD93	226	5.422337055206299	0.4162474	Yes	
row_37	SERPINB10	233	5.337540149688721	0.4218745	Yes	
row_38	CTSD	234	5.329779148101807	0.42802957	Yes	
row_39	PSMB7	238	5.261831760406494	0.4338377	Yes	
row_40	MMP8	259	4.909265518188477	0.43771747	Yes	
row_41	FTH1	261	4.884329795837402	0.44326863	Yes	
row_42	CLEC4D	276	4.65981388092041	0.44739717	Yes	
row_43	CRISPLD2	278	4.617784023284912	0.45264053	Yes	
row_44	BST1	280	4.601731300354004	0.45786533	Yes	
row_45	TSPAN14	292	4.4705119132995605	0.46204373	Yes	
row_46	CEACAM8	294	4.438282012939453	0.4670798	Yes	
row_47	STOM	298	4.418184280395508	0.47191364	Yes	
row_48	FUCA1	312	4.305522918701172	0.47572255	Yes	
row_49	ABCA13	332	4.061463356018066	0.47871268	Yes	
row_50	MGST1	355	3.8341500759124756	0.48117185	Yes	
row_51	CD59	362	3.7502377033233643	0.4849659	Yes	
row_52	CEACAM3	381	3.626702070236206	0.48754343	Yes	
row_53	MPO	396	3.523616313934326	0.49035987	Yes	
row_54	PGM1	420	3.372319221496582	0.4921962	Yes	
row_55	GCA	421	3.359123468399048	0.49607548	Yes	
row_56	PGAM1	427	3.3163671493530273	0.49945793	Yes	
row_57	TRAPPC1	439	3.2178070545196533	0.5021897	Yes	
row_58	CXCL1	453	3.1317129135131836	0.504643	Yes	
row_59	PADI2	456	3.1042370796203613	0.50804895	Yes	
row_60	ATP6V1D	464	3.0497074127197266	0.5109445	Yes	
row_61	C3AR1	483	2.972933530807495	0.512767	Yes	
row_62	SIRPB1	484	2.9718968868255615	0.5161991	Yes	
row_63	GYG1	488	2.934757947921753	0.51931983	Yes	
row_64	CD63	502	2.870120048522949	0.5214711	Yes	
row_65	S100A11	506	2.8651039600372314	0.5245114	Yes	
row_66	RAB18	534	2.792325973510742	0.52532	Yes	
row_67	ATP6AP2	535	2.7910830974578857	0.52854323	Yes	
row_68	PKM	541	2.7651877403259277	0.53128916	Yes	
row_69	GMFG	552	2.704817533493042	0.53351796	Yes	
row_70	NFAM1	553	2.704535722732544	0.5366413	Yes	
row_71	VAMP8	556	2.6945061683654785	0.539574	Yes	
row_72	CAB39	558	2.6863231658935547	0.54258686	Yes	
row_73	RAB3D	559	2.6788647174835205	0.5456805	Yes	
row_74	HP	561	2.6714234352111816	0.54867613	Yes	
row_75	VAPA	567	2.664339780807495	0.5513056	Yes	
row_76	VCL	580	2.6264634132385254	0.5532649	Yes	
row_77	RAB44	585	2.6119284629821777	0.55592334	Yes	
row_78	GSN	597	2.590538263320923	0.5579307	Yes	
row_79	CYSTM1	601	2.5529673099517822	0.56061053	Yes	
row_80	ASAH1	615	2.5086636543273926	0.5623443	Yes	
row_81	CPNE3	621	2.488577365875244	0.5647708	Yes	
row_82	CKAP4	626	2.4723687171936035	0.5672681	Yes	
row_83	GPI	652	2.374633312225342	0.5677733	Yes	
row_84	LTF	668	2.3139681816101074	0.5691033	Yes	
row_85	CTSA	673	2.2940688133239746	0.5713946	Yes	
row_86	AP1M1	679	2.283531427383423	0.5735843	Yes	
row_87	IDH1	683	2.267120599746704	0.57593405	Yes	
row_88	FUCA2	700	2.215709924697876	0.57706106	Yes	
row_89	GOLGA7	709	2.204169511795044	0.5788907	Yes	
row_90	ROCK1	713	2.1984732151031494	0.58116114	Yes	
row_91	SRP14	716	2.1856977939605713	0.5835063	Yes	
row_92	METTL7A	719	2.1777498722076416	0.58584225	Yes	
row_93	OSTF1	726	2.1613471508026123	0.5878014	Yes	
row_94	SDCBP	728	2.1543936729431152	0.5901999	Yes	
row_95	RNASE2	737	2.1411006450653076	0.5919567	Yes	
row_96	ARL8A	739	2.137202501296997	0.5943353	Yes	
row_97	ATG7	740	2.1296446323394775	0.5967947	Yes	
row_98	DNASE1L1	757	2.107811450958252	0.59779716	Yes	
row_99	QSOX1	780	2.0319910049438477	0.5981751	Yes	
row_100	CEACAM1	782	2.026154041290283	0.6004255	Yes	
row_101	DOK3	784	2.0236105918884277	0.602673	Yes	
row_102	RAB5C	785	2.0220367908477783	0.6050081	Yes	
row_103	SIGLEC14	800	1.9857274293899536	0.6060485	Yes	
row_104	TOM1	811	1.9677696228027344	0.60742617	Yes	
row_105	GGH	816	1.961959719657898	0.60933393	Yes	
row_106	RAP2B	819	1.9581390619277954	0.61141634	Yes	
row_107	HPSE	835	1.9284640550613403	0.6123011	Yes	
row_108	RAB7A	846	1.9038184881210327	0.6136049	Yes	
