NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	166	6.305262565612793	0.02707634	No	
row_1	MAP2K1	501	2.8778820037841797	0.017074864	No	
row_2	HCLS1	1092	1.4898885488510132	-0.0242175	No	
row_3	FCER1G	1176	1.4020498991012573	-0.022187397	No	
row_4	LCP2	1288	1.2892144918441772	-0.02332351	No	
row_5	SYK	1601	1.0547093152999878	-0.04340533	No	
row_6	FOS	1707	0.9888160824775696	-0.045996692	No	
row_7	RAF1	1938	0.863103985786438	-0.060237918	No	
row_8	DOK1	2032	0.8259541988372803	-0.06286086	No	
row_9	SHC1	2056	0.8189595341682434	-0.059468653	No	
row_10	VAV1	2507	0.6338704824447632	-0.094266094	No	
row_11	MAP2K2	2910	0.5110252499580383	-0.1257149	No	
row_12	PTPN11	2915	0.5097126960754395	-0.122710474	No	
row_13	MAPK1	3026	0.4719941020011902	-0.12913229	No	
row_14	GRB2	3056	0.46501824259757996	-0.12858637	No	
row_15	CHUK	3097	0.4537997841835022	-0.12906665	No	
row_16	PXN	3167	0.43780460953712463	-0.13216314	No	
row_17	MAPK3	3384	0.37902313470840454	-0.14837441	No	
row_18	PIK3R1	4080	0.23473185300827026	-0.20700969	No	
row_19	PLD2	4715	0.13144242763519287	-0.26104212	No	
row_20	MAP2K4	5177	0.06457921862602234	-0.30053446	No	
row_21	IKBKG	5294	0.04995347931981087	-0.31025025	No	
row_22	LYN	5666	0.007160108536481857	-0.34232718	No	
row_23	RELA	5852	-0.009154642932116985	-0.3582857	No	
row_24	PRKCB	5978	-0.02786545641720295	-0.36892596	No	
row_25	WIPF1	6443	-0.09063611179590225	-0.40850678	No	
row_26	MAP3K1	6510	-0.10102678835391998	-0.4135574	No	
row_27	CBL	6570	-0.1110922172665596	-0.4179358	No	
row_28	BTK	8583	-0.5338292717933655	-0.5886407	No	
row_29	LAT2	9018	-0.6782410740852356	-0.621761	No	
row_30	SOS1	9266	-0.7798016667366028	-0.6380219	No	
row_31	NFKB1	9439	-0.8609910011291504	-0.6472549	No	
row_32	MAPK8	9786	-1.071518898010254	-0.6701702	No	
row_33	ITK	9789	-1.0732024908065796	-0.6632883	No	
row_34	IKBKB	9836	-1.1160191297531128	-0.65993476	No	
row_35	SPHK1	10403	-1.6843928098678589	-0.6978704	No	
row_36	FYN	11151	-4.100256443023682	-0.73559684	Yes	
row_37	GAB2	11235	-4.8448405265808105	-0.71093434	Yes	
row_38	S1PR1	11326	-6.029425144195557	-0.6790906	Yes	
row_39	FCGR2B	11332	-6.128497123718262	-0.63923573	Yes	
row_40	PTPN13	11517	-11.618413925170898	-0.57879007	Yes	
row_41	MS4A2	11545	-15.592907905578613	-0.47862244	Yes	
row_42	NFATC2	11576	-23.825077056884766	-0.32459748	Yes	
row_43	FCER1A	11590	-49.574623107910156	1.732741E-4	Yes	
