NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFB9	325	4.114111423492432	0.0021824911	Yes	
row_1	NDUFS5	412	3.4200687408447266	0.020045348	Yes	
row_2	ATP5PD	417	3.391995906829834	0.044845413	Yes	
row_3	COX7B	429	3.279282331466675	0.06819984	Yes	
row_4	UQCRFS1	436	3.2593493461608887	0.091842175	Yes	
row_5	NDUFB10	450	3.1529016494750977	0.11408533	Yes	
row_6	NDUFA1	452	3.138690948486328	0.13726878	Yes	
row_7	SDHC	497	2.902439594268799	0.15495369	Yes	
row_8	UQCRQ	503	2.8698570728302	0.17579542	Yes	
row_9	COX6B1	509	2.856698989868164	0.19653961	Yes	
row_10	ATP5PF	514	2.8363189697265625	0.21721983	Yes	
row_11	NDUFB3	519	2.8290181159973145	0.23784593	Yes	
row_12	UQCRH	530	2.7970972061157227	0.2577125	Yes	
row_13	ATP5ME	574	2.6433002948760986	0.27356327	Yes	
row_14	UQCR11	650	2.379140615463257	0.2846671	Yes	
row_15	NDUFA2	656	2.3619532585144043	0.30174318	Yes	
row_16	COX7C	701	2.21462082862854	0.31432852	Yes	
row_17	NDUFB2	755	2.1085915565490723	0.32534352	Yes	
row_18	COX6A1	760	2.094395875930786	0.34052303	Yes	
row_19	ATP5F1E	771	2.0737063884735107	0.35502633	Yes	
row_20	COX7A2L	808	1.9702603816986084	0.36649707	Yes	
row_21	NDUFB5	849	1.8918113708496094	0.37703764	Yes	
row_22	UQCR10	851	1.8868391513824463	0.39093974	Yes	
row_23	MT-ND1	856	1.8690096139907837	0.4044482	Yes	
row_24	COX5B	859	1.8676559925079346	0.41812095	Yes	
row_25	NDUFC1	860	1.8654762506484985	0.4319518	Yes	
row_26	MT-ND3	865	1.8558121919631958	0.44536242	Yes	
row_27	NDUFAB1	904	1.7831734418869019	0.4552718	Yes	
row_28	SDHD	918	1.7603580951690674	0.46719047	Yes	
row_29	UQCRB	995	1.608435034751892	0.47249308	Yes	
row_30	COX5A	1004	1.5909916162490845	0.48359177	Yes	
row_31	ATP5PB	1021	1.5618388652801514	0.4937772	Yes	
row_32	ACAD9	1035	1.5501660108566284	0.50413746	Yes	
row_33	NDUFB1	1043	1.5370543003082275	0.5149234	Yes	
row_34	ATP5PO	1063	1.5166339874267578	0.52451223	Yes	
row_35	COX6C	1071	1.5094540119171143	0.53509355	Yes	
row_36	MT-CO3	1107	1.4727054834365845	0.5429625	Yes	
row_37	NDUFA4	1203	1.365973949432373	0.54481184	Yes	
row_38	NDUFB8	1260	1.3116662502288818	0.5496569	Yes	
row_39	SDHB	1268	1.3064441680908203	0.55873305	Yes	
row_40	COX4I1	1373	1.2201141119003296	0.5587167	Yes	
row_41	TACO1	1403	1.2046180963516235	0.5651209	Yes	
row_42	ATP5MC3	1408	1.1974847316741943	0.5736506	Yes	
row_43	COX8A	1457	1.154107689857483	0.5780246	Yes	
