NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDK4	8	37.77719497680664	0.17769578	Yes	
row_1	PDHA1	240	5.225702285766602	0.18216673	Yes	
row_2	NDUFB9	325	4.114111423492432	0.19424702	Yes	
row_3	NDUFS5	412	3.4200687408447266	0.2028749	Yes	
row_4	ATP5PD	417	3.391995906829834	0.21854307	Yes	
row_5	COX7B	429	3.279282331466675	0.23306663	Yes	
row_6	UQCRFS1	436	3.2593493461608887	0.24793345	Yes	
row_7	NDUFB10	450	3.1529016494750977	0.26168525	Yes	
row_8	NDUFA1	452	3.138690948486328	0.27641964	Yes	
row_9	SDHC	497	2.902439594268799	0.28627703	Yes	
row_10	UQCRQ	503	2.8698570728302	0.299392	Yes	
row_11	COX6B1	509	2.856698989868164	0.31244487	Yes	
row_12	ATP5PF	514	2.8363189697265625	0.32548892	Yes	
row_13	NDUFB3	519	2.8290181159973145	0.33849853	Yes	
row_14	BSG	520	2.8274691104888916	0.35185072	Yes	
row_15	UQCRH	530	2.7970972061157227	0.3642722	Yes	
row_16	ATP5ME	574	2.6433002948760986	0.37299332	Yes	
row_17	UQCR11	650	2.379140615463257	0.3776678	Yes	
row_18	NDUFA2	656	2.3619532585144043	0.3883843	Yes	
row_19	COX7C	701	2.21462082862854	0.3949936	Yes	
row_20	NDUFB2	755	2.1085915565490723	0.4003149	Yes	
row_21	COX6A1	760	2.094395875930786	0.4098554	Yes	
row_22	ATP5F1E	771	2.0737063884735107	0.41877335	Yes	
row_23	COX7A2L	808	1.9702603816986084	0.42492846	Yes	
row_24	ME1	821	1.9546908140182495	0.43310943	Yes	
row_25	NDUFB5	849	1.8918113708496094	0.43968135	Yes	
row_26	UQCR10	851	1.8868391513824463	0.44850412	Yes	
row_27	MT-ND1	856	1.8690096139907837	0.45698026	Yes	
row_28	COX5B	859	1.8676559925079346	0.46562496	Yes	
row_29	NDUFC1	860	1.8654762506484985	0.47443432	Yes	
row_30	MT-ND3	865	1.8558121919631958	0.48284814	Yes	
row_31	FAHD1	892	1.8057832717895508	0.4891013	Yes	
row_32	NDUFAB1	904	1.7831734418869019	0.49655977	Yes	
row_33	SDHD	918	1.7603580951690674	0.50373554	Yes	
row_34	UQCRB	995	1.608435034751892	0.5046831	Yes	
row_35	COX5A	1004	1.5909916162490845	0.5114964	Yes	
row_36	ATP5PB	1021	1.5618388652801514	0.5174724	Yes	
row_37	ACAD9	1035	1.5501660108566284	0.52365553	Yes	
row_38	MPC1	1041	1.5376840829849243	0.5304796	Yes	
row_39	NDUFB1	1043	1.5370543003082275	0.5376506	Yes	
row_40	ATP5PO	1063	1.5166339874267578	0.5431506	Yes	
row_41	COX6C	1071	1.5094540119171143	0.5496664	Yes	
row_42	IDH3B	1099	1.4839099645614624	0.55431205	Yes	
row_43	MT-CO3	1107	1.4727054834365845	0.56065434	Yes	
row_44	LDHA	1169	1.4075169563293457	0.56196517	Yes	
row_45	NDUFA4	1203	1.365973949432373	0.56552905	Yes	
row_46	OGDH	1212	1.3591898679733276	0.5712478	Yes	
row_47	NDUFB8	1260	1.3116662502288818	0.57333064	Yes	
row_48	SDHB	1268	1.3064441680908203	0.57888776	Yes	
row_49	COX4I1	1373	1.2201141119003296	0.5755522	Yes	
row_50	TACO1	1403	1.2046180963516235	0.57870406	Yes	
row_51	ATP5MC3	1408	1.1974847316741943	0.58400905	Yes	
row_52	COX8A	1457	1.154107689857483	0.5852604	Yes	
row_53	ETFB	1462	1.1532952785491943	0.5903567	Yes	
row_54	MT-CO2	1471	1.1450574398040771	0.5950642	Yes	
row_55	MT-CO1	1491	1.1265430450439453	0.5987221	Yes	
row_56	TIMMDC1	1508	1.1202704906463623	0.6026128	Yes	
row_57	MT-ATP6	1510	1.116124153137207	0.607796	Yes	
row_58	UQCRC1	1537	1.0942041873931885	0.61068887	Yes	
row_59	ATP5F1A	1539	1.0937846899032593	0.6157666	Yes	
row_60	SLC16A3	1546	1.0896624326705933	0.62038743	Yes	
row_61	NDUFS6	1550	1.086988091468811	0.6252581	Yes	
row_62	ATP5F1C	1583	1.0669140815734863	0.62749726	Yes	
row_63	SDHA	1597	1.0587002038955688	0.6313596	Yes	
row_64	NDUFB4	1599	1.055944561958313	0.6362586	Yes	
row_65	MT-ATP8	1636	1.0336790084838867	0.6379909	Yes	
row_66	PDK3	1657	1.0200320482254028	0.6410583	Yes	
row_67	ATP5MC1	1662	1.014736294746399	0.64550036	Yes	
row_68	ATP5F1B	1691	0.9976116418838501	0.6477621	Yes	
row_69	ETFDH	1715	0.9853799343109131	0.6504035	Yes	
row_70	NDUFA12	1789	0.9427820444107056	0.64847	Yes	
row_71	ATP5MF	1849	0.9132243990898132	0.6476216	Yes	
row_72	CYCS	1851	0.9115130305290222	0.65183854	Yes	
row_73	NDUFAF3	1869	0.9040921330451965	0.6546209	Yes	
row_74	MT-CYB	1889	0.8910631537437439	0.6571668	Yes	
row_75	MT-ND4	1920	0.8720844984054565	0.6586608	Yes	
row_76	MT-ND5	1931	0.8660709857940674	0.66187596	Yes	
row_77	ATP5F1D	1997	0.840194821357727	0.6601578	Yes	
row_78	SUCLG1	2016	0.8341322541236877	0.6625223	Yes	
row_79	ME2	2087	0.8038821220397949	0.66019535	Yes	
row_80	MT-ND2	2171	0.7669219970703125	0.65655667	Yes	
row_81	ATP5MG	2191	0.7557435035705566	0.6584635	Yes	
row_82	COX20	2196	0.7545130848884583	0.66167665	Yes	
row_83	NDUFA5	2226	0.7476486563682556	0.66267055	Yes	
row_84	COX14	2227	0.7472525835037231	0.66619927	Yes	
row_85	NDUFB6	2260	0.7301013469696045	0.6668479	Yes	
row_86	NDUFB7	2287	0.718897819519043	0.66796845	Yes	
row_87	DLD	2529	0.6272128820419312	0.6498492	No	
row_88	ACO2	2580	0.6117008328437805	0.6483641	No	
row_89	NDUFS2	2608	0.6012014746665955	0.6488414	No	
row_90	NDUFAF5	2619	0.5981992483139038	0.6507915	No	
row_91	MDH2	2748	0.5602250099182129	0.6422404	No	
row_92	NDUFV3	2786	0.5485639572143555	0.6415944	No	
row_93	NDUFS3	2925	0.5045584440231323	0.6319057	No	
row_94	FH	2950	0.4961792230606079	0.63214946	No	
