NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NEUTROPHIL DEGRANULATION%REACTOME DATABASE ID RELEASE 83%6798695	NEUTROPHIL DEGRANULATION%REACTOME DATABASE ID RELEASE 83%6798695	Details ...	418	0.6394021	2.0663257	0.0	0.31812364	0.244	1967	tags=46%, list=17%, signal=54%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	93	0.7532935	2.0661478	0.0	0.1602628	0.245	2287	tags=74%, list=20%, signal=92%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	Details ...	117	0.71970004	2.0072196	0.0	0.47154522	0.707	2287	tags=63%, list=20%, signal=78%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	Details ...	97	0.7128138	1.9964204	0.0	0.44389158	0.791	2287	tags=60%, list=20%, signal=74%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	149	0.6973018	1.9933524	0.0	0.3759924	0.806	2298	tags=58%, list=20%, signal=71%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1	Details ...	161	0.66796845	1.968398	0.0	0.48764962	0.927	2287	tags=54%, list=20%, signal=66%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	Details ...	81	0.72998744	1.9662595	0.0	0.43058357	0.929	1931	tags=64%, list=17%, signal=76%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	72	0.74518913	1.960598	0.0	0.41315043	0.941	1931	tags=67%, list=17%, signal=79%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	71	0.7451848	1.9494866	0.0	0.43771437	0.959	1931	tags=66%, list=17%, signal=79%	
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details ...	118	0.7004373	1.9488602	0.0	0.3976816	0.961	2287	tags=66%, list=20%, signal=82%	
